Insult,Date,Comment
0,20120529113543Z,"""GALLUP DAILY\nMay 24-26, 2012 \u2013 Updates daily at 1 p.m. ET; reflects one-day change\nNo updates Monday, May 28; next update will be Tuesday, May 29.\nObama Approval48%-\nObama Disapproval45%-1\nPRESIDENTIAL ELECTION\nObama47%-\nRomney45%-\n7-day rolling average\n\n It seems the bump Romney got is over and the president is on his game."""
0,20120612120924Z,"""This is someone whose self-importance got the best of him. If anyone should be fired it would be Tate. This kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand."""
0,20120530113019Z,"""Don't stand on your porch."""
0,20120528204226Z,"""camp has got to come in here and get this guy. this is where you earn your money."""
0,,"""You could not be more wrong. The American Tea Party stands for limited government. Fiscal responsibility, and a return to our constitution. The Tea Party when it rallies or protests does it legally with brains. We pay the permits, arrange the events, say our piece, and then clean up and go home. The occupukes on the other hand. Are not only different, they are opposite. They trespass, they steal, they show up without permission. They damage private property, they collect urine and feces to throw on people. They set fires, they smash store windows. They rape young girls. I can go on and on. Oh and the heat, AC and warm beds were all paid for by those people. don't kid yourself that we are not committed to our cause because we are not stupid like you or OWS. There is a right way and a wrong way to do things. You and the occupunks have choosen the later."""
0,20120529084343Z,"""Because that is how they get their rocks off. Our government is run by pedophiles who sexually torture children."""
0,20120514051009Z,"""He actually said ""what a spoiled bitch I am"".\xa0 I never hated Colton the way most of the posters did, because I felt for him.\xa0 Being gay in a republican family, can only mean that you have been villified.\xa0 He was dismayed that it was men vs women, as that took away any comfort zone he may have had.\xa0 The men didn't welcome him, and when he got power, it went to his ""spoiled bitch"" head."""
0,20120610074630Z,"""With inbreeds being the longest running malcontents."""
0,,"""Quote from Teresa May ""That is why we have been trying to deport him to Jordan, his home country."" TRYING - Since when does a Sovereign have problems TRYING to deport diseased minded scum like him. Stuff the EU laws and if the UK is \\'fined\\' by the EUSSR for doing this then don\\'t pay it ... and then stop all financial payments to this corrupt experiment. It doesn\\'t work, its broke so listen to the PEOPLE Camoron and have an in or out referendum .. NOW!"""
0,,"""@nilbymouth \\n\\nYou are right concerning Campbell.  My bad.  The QB carosel has me mixed up.  Anyways, I still don't like Knapp and think we went that road with him once before and do not need to revisit it again.  Cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself.  If Knapp was truely great at what he does, he would have had some positive influence on this team with his quarterbacks, and in my opinion, he didn't....Carson Palmer needs a guy like Saunders whose offensive connection to him is undeniable..."""
0,20120529160040Z,"""I'll like your comment too if it makes you feel better."""
0,20120610000015Z,"""Why didn't Obama go to Wisconsin and urge the Republicans to abandon their own America form of austerity?"""
0,20120528195900Z,"""If they deleted his post, I wold surely be banned for my flaming all over Joe. :)"""
0,20120502062701Z,"""What the hell are you talking about?"""
0,20120529035417Z,"""people dancing, drinking, having fun at the clubs in miami\n\n""Life is good in miami, Heat won!!!! lets get drunk""\n\n--Heat fans"""
0,20120515182944Z,"""This is so American. Load of utter 'positive people makes positive lives' fake christian bullshit.\xa0\n\nPut it this way, take 2 for example:Give up complaining. This to me just reads like 'become a walk over'. If we all gave up complaining, nothing great would get done or crap would be accepted. Go into a hairdressers, get a shit haircut for $100. Don't complain because you are a happy, pissed-off with your shit haircut, person who's just been taken for a ride.\xa0Give up the luxury of criticism. For a start it's not a luxury. You can be critical if you want. I believe it is a trait that I enjoy. Why? Many people are idiots. It's the truth. If you are in a job and you don't criticise people who do crap work then you'll have an office/workplace full of people who can't do their job.These are basic personality traits of intelligent people. But I guess retards are happier than all of us."""
0,20120609213514Z,"""You're one of my favorite commenters."""
0,20120611051049Z,"""dude, it looks NOTHING like the ""fag-box."" It looks more towards PlayStation-meets-Alienware console. It has already been proven that modern consoles continually progress towards a PC. So please take your\xa0idiotically painful comments\xa0elsewhere."""
1,20120527231602Z,"""Howe does it feel to be a Freedom Leech parasite?"""
0,,""".........And all the arseanal fans silently weep into their hankies!!\\n\\nThere's nothing to see here, fellas- he's a free man and still the Spurs manager!\\n\\n \\n\\nUNLUCKY!"""
0,20120529211852Z,"""Yes  you have to have comedy in your life"""
1,20120619192139Z,"""Moron, the Latinos are becoming a large voting block you can't just dismissed them like you did with blacks, gay, women and other minorities.\nYou need a majority to win and all whites don't buy your crap"""
0,20120609171819Z,"""""When Is Bush going to be asked to campaign for Romney. When he does I'll buy you a dinner. I wonder why Bush is NOT  wanted.""\n\nThe BETTER question is why a SITTING PRESIDENT LIKE OBAMA IS NOT WANTED!\n\nNotice he did 7 fundraisers the weekend before the vote all around WIsc. NEVER stopped in WISC.\n\nNotice NO ONE wants his help campaigning?"""
0,,"""wait till a raptor grabs it in mid air.bad days man."""
0,20120610002525Z,"""Have you ever given him props or at least not dissed him out on any thread? I'm not a fan of his movies either but that don't mean I start talking shit on every fucking post.."""
0,,"""@big_o_other That dynamic has been clear since the teabaggers threw their first tantrum in January of 2009 and Rush declared that he wanted the president to fail.\\\\n\\\\n \\\\n\\\\nThey want the economy to suck. They NEED the economy to suck. This explains their otherwise puzzling legislative choices over the past three years."""
1,20120609233435Z,"""You are stuck on stupid obviously...give me a break and don't vote.\nmoron"""
0,20120619063951Z,"""This man's drunk as fuck, he's on drugs, he's a male prostitute."""
1,20120619221729Z,"""who told you that....stupid ask yourself who kick his daughter out of the house at the age 16.....when it's comes protecting weaman you guys the last ppl on earth who can open their mounths.."""
0,20120612004703Z,"""@Lets_Go_West\xa0try big 100\nthey are dope"""
